Lat,Lon
-22.86702778,29.767
-22.87544444,29.70141667
-22.88755556,29.65669444
-22.87202778,29.72880556
-22.86986111,29.69313889
-22.85419444,29.71219444
-22.88425,29.61216667
-22.8675,29.74613889
-22.85869444,29.80561111
-22.70119444,29.77847222
-29.20172222,30.25058333
-29.02788889,29.88627778
-29.15644444,29.85161111
-29.36263889,30.59319444
-29.52916667,30.41544444
-29.47005556,29.72872222
-29.05933333,30.25952778
-29.31569444,30.69852778
-29.69005556,30.17588889
-29.67991667,29.99222222
-29.23161111,29.92097222
-29.02263889,29.89877778
-29.83616667,29.44691667
-29.19363889,30.48694444
-29.68116667,29.97363889
-28.95088889,29.90994444
-29.28533333,30.75344444
-31.48605556,25.52086111
-31.46408333,24.94916667
-31.78583333,24.46280556
-31.38397222,25.27597222
-31.93527778,25.45886111
-31.60344444,25.49130556
-31.56405556,24.91830556
-32.10883333,25.05019444
-31.88375,25.39166667
-31.53741667,24.53963889
-31.81422222,24.60163889
-31.75269444,25.25563889
-31.26136111,25.21411111
-31.31858333,24.92466667
-31.68230556,24.96613889
-31.91811111,25.54238889
-31.59813889,25.64811111
-31.53522222,24.94052778
-31.56425,25.00519444
-32.01383333,25.31736111
-31.76458333,25.65563889
-31.72738889,25.30030556
-31.45783333,24.68283333
-31.74505556,25.65197222
-31.33313889,25.41113889
-31.61225,25.2195
-31.79922222,24.73263889
-31.95816667,25.03219444
-31.61591667,24.66816667
-32.01186111,25.52344444
-31.398,25.47947222
-31.97552778,25.16983333
-31.88527778,24.81094444
-31.84377778,25.46869444
-31.62422222,24.7505
-31.89444444,24.97486111
-31.75911111,25.59511111
-32.17027778,25.29805556
-31.29838889,25.20283333
-32.15486111,25.02563889
-31.76802778,25.08663889
-31.844,24.50691667
-31.81186111,25.31852778
-31.716,25.35547222
-31.38769444,25.18061111
-31.66461111,25.71397222
-32.04608333,25.48747222
-32.19288889,24.82327778
-32.06505556,24.824
-32.05513889,28.22463889
-32.99613889,27.38805556
-32.82955556,27.81891667
-33.16463889,27.26438889
-32.50736111,28.30744444
-32.25030556,28.32441667
-33.03627778,27.47044444
-33.16375,27.52094444
-32.57613889,28.309
-32.26063889,28.20255556
-32.80169444,27.73977778
-32.89547222,27.63258333
-32.72452778,28.07161111
-32.67083333,28.30425
-32.32566667,27.64147222
-32.79336111,27.74552778
-33.13683333,27.679
-32.64105556,28.09616667
-33.06075,27.57313889
-33.06030556,27.71547222
-32.38791667,27.58183333
-32.89175,28.07913889
-32.68613889,27.59313889
-32.61683333,27.66247222
-32.64858333,28.24072222
-33.11988889,27.72166667
-32.80688889,27.84933333
-32.62683333,27.95391667
-32.54444444,27.55430556
-34.35227778,20.82855556
-34.03075,20.32780556
-34.26691667,20.60913889
-34.10861111,21.16775
-34.11294444,20.44452778
-34.14311111,21.15875
-34.27263889,20.86530556
-34.15202778,21.13336111
-34.01797222,20.78441667
-34.05786111,20.59402778
-34.07247222,20.62127778
-34.34113889,20.43594444
-34.09622222,20.55047222
-34.41641667,20.8105
-34.04922222,20.575
-28.12130556,24.65819444
-29.76422222,24.91172222
-27.97883333,24.80008333
-29.09233333,23.52744444
-29.43169444,24.58277778
-28.47655556,23.85225
-29.11544444,25.1735
-29.41416667,23.6915
-28.12655556,24.30113889
-28.52833333,25.07591667
-28.41780556,24.47652778
-29.4915,23.91780556
-27.97580556,24.01519444
-28.29555556,24.96016667
-28.89972222,23.76366667
-28.25022222,25.08469444
-29.68475,24.75133333
-28.05777778,24.68430556
-28.28127778,25.15366667
-28.12425,25.08183333
-29.55038889,27.00558333
-28.61436111,27.97986111
-28.47019444,27.19444444
-28.62236111,28.06041667
-28.64744444,27.88658333
-29.44980556,27.32797222
-28.86205556,27.01272222
-28.759,27.84255556
-28.56194444,27.58516667
-28.63602778,28.11833333
-29.19786111,27.50286111
-29.15975,27.56241667
-28.70658333,27.34830556
-29.22436111,27.32463889
-29.17836111,27.02216667
-29.37577778,27.29344444
-28.76241667,27.08286111
-28.71772222,26.63661111
-28.82569444,27.67777778
-28.64975,27.00891667
-28.8815,26.79016667
-29.10772222,26.78722222
-28.71241667,27.15283333
-28.62297222,27.98641667
-29.10838889,27.45205556
-28.96441667,27.69052778
-31.79005556,24.37461111
-31.83130556,24.27280556
-32.84138889,24.34586111
-31.80244444,24.23291667
-32.23583333,24.6385
-32.70138889,23.64030556
-32.04502778,24.20558333
-32.63672222,23.62463889
-32.84213889,24.26341667
-32.90141667,24.39797222
-32.40608333,23.43713889
-32.42313889,24.33825
-32.53866667,24.52105556
-32.50955556,23.815
-32.26747222,23.69405556
-32.49233333,23.56916667
-32.766,24.13758333
-32.52727778,24.10491667
-32.77347222,23.84591667
-32.12569444,24.17502778
-32.41461111,24.01788889
-32.16502778,24.2355
-32.46105556,24.09069444
-32.67766667,23.74025
-32.67355556,24.11388889
-32.60808333,23.59544444
-32.18097222,24.46883333
-32.8705,24.1665
-32.58088889,24.46361111
-32.10191667,24.60966667
-32.95925,24.36686111
-32.67858333,24.34222222
-32.27583333,24.24275
-32.45788889,24.45258333
-32.93152778,24.39391667
-32.91111111,23.89972222
-32.17455556,24.12144444
-32.21427778,24.33775
-32.45697222,23.87325
-32.74161111,23.76633333
-32.46719444,23.64816667
-32.36255556,24.06894444
-32.38027778,23.79316667
-32.82361111,24.5425
-32.24144444,24.22436111
-26.39072222,27.33144444
-26.232,27.57147222
-26.62530556,26.90663889
-25.99669444,27.30119444
-26.44836111,26.67722222
-26.04947222,27.43316667
-26.12994444,26.42041667
-25.88797222,26.16566667
-25.73205556,27.28208333
-26.26344444,26.51258333
-26.36516667,27.55425
-26.12897222,26.38747222
-26.41861111,26.92533333
-25.71905556,27.10919444
