Country,Site,Cluster,Plot,Latitude,Longitude,Depth,pH,Percent_N,Percent_C,Percent_Inorg_C,Percent_Org_C,Am.Ox.Al,Am.Ox.Fe,AmOx.Mn,AmOx.P,Olsen.P,pbi,Caex,Kex,Mgex,Naex,eCEC,Al,Ca,Co,Cr,Cu,Fe,K,Mg,Mn,Na,Ni,P,Pb,S,Zn,As.75,Se.78,Mo.95,Cd.114
Tanzania,Pandambili,3,1,-6.06394,36.4405,Topsoil,6.78,0.09,0.98,0,0.98,1871.559305,1204.912035,172.6345741,32.10988216,2.14,38.35,5.41,0.736213532,1.66387279,0.013414701,8.016196744,30120.52145,1263.401923,8.23957425,81.20799608,18.10957267,20798.726,2999.24076,2376.152831,262.0177594,102.9927186,24.40383259,150.936463,3.32646447,100.773286,26.10203865,0.415931267,0.488670154,0.085806654,0.031715932
Tanzania,Pandambili,4,1,-6.04692984,36.4438591,Topsoil,6.81,0.09,0.98,0,0.98,1320.844888,718.2484842,187.4423131,36.56973074,2.52,32.33,4.14,0.782886767,1.952944334,0.00347264,7.180006795,27946.13109,1043.289516,7.952616244,111.3843002,11.03163686,13043.07539,1859.993992,1230.911236,242.34738,57.09343267,36.58893292,134.8872079,2.066370443,96.24024182,20.2665237,0.310835072,0.387928695,0.069960787,0.027241843
Tanzania,Pandambili,5,1,-6.11749,36.4577,Topsoil,6.59,0.07,0.71,0,0.71,1495.598403,1002.452294,178.5830681,28.03145346,2.12,57.7,4.19,1.319417037,1.921031133,0.024305424,9.103383925,41600.31625,807.8549479,10.16235778,79.97531782,20.4033794,23282.6423,2759.099866,1196.759027,293.5406931,45.20789581,34.34654753,165.3172985,4.781452974,78.60095641,23.69192973,0.713901367,0.457225403,0.304741874,0.015837499
Tanzania,Pandambili,7,2,-6.06997013,36.46458817,Topsoil,6.5,0.06,0.62,0,0.62,1170.377372,757.5373696,135.0692152,28.18330732,2.08,58.7,5.14,1.109445179,1.996628582,0.08972411,8.310086355,24593.66345,828.1173073,5.947934908,71.34760691,9.624795776,14715.76302,2434.413016,1184.687778,215.6161448,62.48527525,22.66358872,115.2061061,3.407329342,72.25487245,16.87644943,0.526020363,0.295802348,0.191794792,0.020168219
Tanzania,Pandambili,8,1,-6.05574989,36.45772171,Topsoil,7.06,0.11,1.09,0,1.09,2552.182083,2287.346564,467.5727676,84.07093618,6.94,83.27,9.14,2.255154099,4.952908755,0.069157468,17.10273109,55026.39041,2452.836902,17.80954714,123.2415541,26.36134474,37372.2508,9379.867053,6286.142896,698.8539867,138.570743,56.01312732,230.5939613,5.384431823,125.5160139,55.60641161,0.558422842,0.56064119,0.046705568,0.054947636
Tanzania,Pandambili,10,1,-6.09622,36.4863,Topsoil,5.89,0.04,0.43,0,0.43,1236.921369,1063.475158,115.135959,41.48028306,2.06,32.31,1.21,0.614972379,0.746999369,0.018092521,3.069704142,23627.06109,397.4739701,6.896188579,62.2009199,9.013397724,15834.72306,2003.258263,1348.270189,172.6640225,85.25691307,18.71272496,131.6283113,2.939359626,51.52199873,18.90861025,0.503836408,0.413680278,0.104857028,0.013650261
Tanzania,Pandambili,13,1,-6.12214,36.5064,Topsoil,6.59,0.07,0.7,0,0.7,1154.643497,1238.449409,260.4085324,31.30927159,1.84,43.58,2.81,0.77089689,1.85846861,0.019969896,8.067466535,31202.56878,944.5066358,12.57863449,66.00703175,17.26653002,24094.01443,2126.131284,1495.455388,368.36904,104.1900293,24.7574152,158.1019848,3.158400025,71.67024384,20.39536891,0.368883527,0.503793442,0.086236166,0.029569113
Tanzania,Pandambili,14,1,-6.09060001,36.50844955,Topsoil,6.58,0.07,0.67,0,0.67,1456.632977,1698.821134,291.809913,54.05469547,2.72,43.15,2.87,0.909867962,1.566001669,0.083989611,6.100020087,30332.33133,1152.21787,11.0976716,67.63313334,13.40828037,25799.14574,3269.795999,2298.872349,444.9311366,168.7628061,27.43158394,168.2868012,4.522059007,75.99660226,31.68477942,0.502240024,0.636354972,0.068908408,0.040753415
Tanzania,Pandambili,16,1,-6.05373,36.5135,Topsoil,5.25,0.03,0.36,0,0.36,1020.587778,427.0977004,62.01274813,-42.41961434,1.28,19.97,0.65,0.747592855,0.254226971,0.011439376,5.716053996,15155.93885,260.4958739,6.122013898,82.97381341,5.993872156,12636.77549,1180.173825,741.0054101,107.1651338,72.52703744,15.90873929,69.20471591,5.687003142,35.45778065,10.70202353,0.184297377,0.332619884,0.133605075,0.001598239
Tanzania,Kiberashi,14,1,-5.35679007,37.50985718,Topsoil,6.16,0.08,0.92,0,0.92,3099.311156,1945.268966,110.644771,46.45054065,1.38,90.9,4.82,0.896931301,3.637424779,0.0333544,5.066062058,61243.24618,1032.327734,14.66908752,68.41049366,12.91027509,33788.55584,3328.323756,2536.698409,209.9524228,94.32584334,39.73352558,256.7188402,9.255615244,125.6833741,30.93802417,0.892977474,0.950586674,0.074859809,0.009029607
