Lat,Lon,C,Red,Green,Blue,NIR,NDVI,EVI,SAVI,RVI,Precipitation,Minimum Temp.,Maximum Temp.,DEM,Aspect,Slope,TWI,Category
-30.85194444,29.27083333,2.4,9783.088,8861.954,7580.523,14584.286,0.197,0.76,0.296,1.499,52.4,10.0,23.0,1240.642,-1.635,15.979,8.392,2.0-3.0
-31.02972222,29.01694444,1.0,10051.376,9000.776,7899.565,13161.745,0.133,0.553,0.2,1.313,50.3,11.0,24.0,1065.956,0.68,4.587,4.891,0.5-1.0
-31.14722222,29.22833333,2.1,9504.045,8655.171,7627.513,13569.18,0.174,0.761,0.261,1.438,56.0,11.0,23.0,983.61,2.114,19.096,8.265,2.0-3.0
-31.06666667,29.26166667,2.3,10462.834,9226.151,7985.185,13447.282,0.125,0.467,0.188,1.289,56.9,12.0,24.0,812.564,-1.348,6.305,10.505,2.0-3.0
-30.84139,29.26167,23.0,9598.218,8745.185,7517.694,13813.42,0.179,0.721,0.268,1.444,166.0,14.0,25.0,1261.989,3.08,3.921,7.141,> 4.0
-31.40222222,29.09583333,2.0,10175.064,9034.314,7935.049,14332.446,0.169,0.657,0.254,1.418,23.3,7.0,21.0,960.563,-2.084,6.36,9.43,1.0-2.0
-31.44527778,29.73527778,3.8,7850.64,7655.356,7239.282,17065.996,0.367,2.434,0.55,2.189,62.9,13.0,22.0,100.87,2.674,38.086,5.515,3.0-4.0
-30.81833333,29.18333333,2.7,9894.615,8587.825,7504.995,13253.071,0.145,0.544,0.217,1.347,51.7,9.0,22.0,1277.439,-2.034,9.812,8.046,2.0-3.0
-31.30833333,29.38333333,3.3,9053.828,8328.71,7533.535,13696.943,0.202,1.035,0.303,1.527,29.9,8.0,21.0,947.269,0.218,4.41,5.68,3.0-4.0
-30.57083333,29.04916667,0.8,10517.011,9003.735,7804.887,14018.39,0.143,0.502,0.215,1.34,48.7,10.0,23.0,1294.402,-1.912,15.829,9.281,0.5-1.0
-30.40222222,29.86666667,3.3,8865.725,8259.553,7344.796,13594.537,0.204,1.026,0.306,1.543,51.0,12.0,24.0,725.846,-1.966,19.073,8.086,3.0-4.0
-30.88527778,29.27861111,1.8,10510.697,9399.874,8142.832,14629.672,0.164,0.641,0.246,1.4,52.3,10.0,23.0,1191.825,0.68,3.942,7.052,1.0-2.0
-30.42333333,29.93444444,0.8,9555.146,8655.817,7737.373,13062.268,0.154,0.73,0.231,1.379,52.0,13.0,24.0,639.505,0.989,12.789,7.947,0.5-1.0
-31.43805556,29.52944444,2.1,9690.205,8960.508,7852.666,15038.801,0.215,0.939,0.322,1.562,45.9,11.0,22.0,454.583,-1.82,7.682,4.379,2.0-3.0
-31.54861,29.36306,50.0,9065.073,8575.601,7573.347,15232.453,0.249,1.225,0.374,1.695,155.2,17.0,25.0,519.837,-1.111,47.125,13.257,> 4.0
-31.36083333,29.26055556,3.4,8639.15,7971.954,7280.785,11278.823,0.13,0.789,0.195,1.308,31.5,10.0,22.0,740.622,0.146,20.317,4.33,3.0-4.0
-31.08111111,29.18527778,0.8,10804.246,9387.459,8114.606,13864.758,0.125,0.445,0.187,1.289,55.4,12.0,24.0,746.447,-2.406,3.291,8.515,0.5-1.0
-30.79694444,29.00888889,2.3,10132.429,8890.162,7659.836,14116.371,0.164,0.604,0.246,1.402,47.7,11.0,24.0,1330.634,-1.144,35.857,5.907,2.0-3.0
-31.75,29.08333333,2.6,9711.823,8933.679,7868.352,14902.924,0.208,0.929,0.312,1.549,37.7,10.0,22.0,610.583,-1.823,4.539,4.664,2.0-3.0
-31.1675,29.17222222,3.9,9727.611,8725.781,7576.322,14736.135,0.205,0.81,0.307,1.533,56.4,11.0,23.0,1072.133,-1.617,12.873,8.129,3.0-4.0
-31.27888889,29.37555556,3.3,9885.083,8819.668,7761.799,13741.084,0.161,0.657,0.242,1.401,28.6,7.0,20.0,926.686,-2.255,15.905,8.43,3.0-4.0
-31.43388889,29.14638889,3.6,9773.008,8702.66,7675.351,13133.457,0.145,0.598,0.218,1.35,24.7,8.0,21.0,849.255,2.813,4.425,5.527,3.0-4.0
-30.86527778,29.43138889,5.5,8938.223,8222.672,7337.063,15396.569,0.265,1.264,0.397,1.748,55.3,10.0,22.0,1245.233,-1.936,10.485,6.548,> 4.0
-31.41805556,29.07333333,2.2,10121.777,9141.548,8092.462,13790.093,0.153,0.678,0.23,1.371,23.4,7.0,20.0,961.305,0.165,7.782,4.229,2.0-3.0
-30.98444444,29.32277778,1.9,9834.711,8935.626,7826.591,14302.883,0.186,0.801,0.279,1.467,53.8,10.0,22.0,1220.637,-2.956,10.594,6.246,1.0-2.0
-31.30472222,29.49416667,3.1,8573.754,8114.942,7364.14,17737.804,0.34,1.635,0.511,2.097,35.4,9.0,21.0,690.158,2.665,7.311,6.023,3.0-4.0
-31.73277778,29.225,4.0,8203.149,7868.158,7151.153,13480.896,0.236,1.736,0.354,1.646,46.0,11.0,22.0,466.682,-0.779,16.75,5.605,3.0-4.0
-30.13972222,29.78722222,3.6,9286.556,8391.117,7381.437,13623.367,0.188,0.841,0.282,1.481,52.9,9.0,22.0,1370.876,0.253,19.819,6.855,3.0-4.0
-31.94666667,29.18527778,1.1,9372.216,8837.547,7856.537,14882.278,0.226,1.166,0.339,1.598,56.1,12.0,22.0,5.396,-0.312,6.492,3.214,1.0-2.0
-31.51777778,29.47944444,4.5,8720.008,8206.516,7394.462,12550.438,0.168,1.06,0.253,1.434,51.6,12.0,23.0,409.015,2.624,16.041,7.035,> 4.0
-30.95777778,29.37222222,2.0,10177.265,9046.54,7834.452,14801.16,0.184,0.697,0.275,1.462,53.4,11.0,23.0,1084.266,-1.275,47.689,7.433,1.0-2.0
-30.71111111,29.4625,4.5,11015.734,9613.98,8135.782,16260.526,0.191,0.641,0.287,1.489,52.8,9.0,22.0,1343.102,-2.093,28.868,7.597,> 4.0
-30.48027778,29.96027778,3.0,9649.74,8608.933,7717.746,13363.866,0.16,0.75,0.239,1.411,53.5,13.0,24.0,858.035,-0.551,3.215,9.358,2.0-3.0
-30.86583333,29.34,1.2,9452.342,8515.29,7709.789,11730.432,0.105,0.56,0.158,1.249,52.8,10.0,23.0,815.65,1.749,3.433,7.913,1.0-2.0
-31.97194444,29.16166667,1.6,9727.867,9154.896,8145.237,16050.933,0.241,1.244,0.361,1.665,54.8,12.0,22.0,73.15,-2.453,10.28,4.026,1.0-2.0
-31.09138889,29.32722222,3.1,8650.783,8015.503,7205.344,11770.877,0.145,0.957,0.217,1.357,56.5,11.0,23.0,1035.251,1.54,44.616,7.253,3.0-4.0
-30.97444444,29.34,1.2,10557.466,9371.063,8114.028,15112.331,0.178,0.666,0.267,1.441,55.6,10.0,22.0,1205.876,2.88,22.772,7.097,1.0-2.0
-30.64777778,29.46944444,4.1,9903.115,8771.26,7708.365,13904.305,0.167,0.686,0.25,1.419,50.8,9.0,22.0,1351.859,2.371,13.454,7.003,> 4.0
-31.15305556,29.1325,3.8,9950.795,8947.147,7825.816,14674.728,0.191,0.786,0.287,1.49,53.5,10.0,23.0,1110.515,-1.794,6.857,7.447,3.0-4.0
-30.17333333,29.84111111,2.3,9485.515,8480.062,7560.303,12938.293,0.153,0.687,0.23,1.377,49.5,11.0,24.0,942.287,2.349,13.173,7.22,2.0-3.0
-31.27472222,29.36444444,2.2,9678.936,8768.165,7763.001,13744.873,0.173,0.773,0.259,1.431,27.0,7.0,20.0,960.581,0.137,7.792,4.086,2.0-3.0
-30.72083333,29.47638889,3.2,10010.358,9071.44,7889.85,15370.623,0.211,0.867,0.316,1.558,52.8,9.0,22.0,1488.668,2.196,6.735,8.026,3.0-4.0
-31.45888889,29.12638889,3.7,9589.948,8673.787,7663.098,13049.202,0.153,0.668,0.229,1.367,28.0,8.0,21.0,825.687,0.165,12.722,8.562,3.0-4.0
-31.36611111,29.63638889,2.9,9195.393,8536.786,7634.779,13828.401,0.197,0.978,0.296,1.508,44.1,10.0,22.0,563.719,1.153,6.409,8.419,2.0-3.0
-31.91611111,29.06583333,1.6,9527.995,8959.158,7930.933,15770.176,0.244,1.166,0.366,1.665,47.3,11.0,22.0,405.215,2.529,12.647,8.521,1.0-2.0
-30.88833333,29.31055556,1.1,10247.716,9062.904,7914.64,13774.085,0.146,0.577,0.22,1.351,52.5,11.0,24.0,948.331,-3.089,3.22,9.397,1.0-2.0
-31.38444444,29.62027778,4.3,9232.51,8524.049,7598.996,12887.824,0.162,0.807,0.243,1.404,43.7,10.0,22.0,591.084,2.76,3.683,6.891,> 4.0
-31.315,29.40833333,3.1,9951.137,8887.908,7819.141,14635.668,0.188,0.758,0.282,1.482,29.9,8.0,21.0,819.541,3.133,13.489,6.424,3.0-4.0
-31.06444444,29.39194444,2.2,9598.443,8595.213,7571.991,12997.585,0.149,0.638,0.224,1.363,58.8,12.0,23.0,869.166,-2.466,3.435,7.958,2.0-3.0
-31.00277778,29.47944444,1.8,9336.763,8423.774,7515.45,13096.473,0.167,0.769,0.25,1.416,58.7,12.0,23.0,978.56,-0.776,6.468,8.558,1.0-2.0
-30.805,29.40472222,1.2,9988.62,8659.593,7692.928,13453.532,0.147,0.586,0.221,1.356,52.2,10.0,22.0,1169.851,-3.137,13.123,7.542,1.0-2.0
-30.72194444,29.42611111,1.1,10180.159,9048.252,8024.518,13748.349,0.15,0.638,0.225,1.359,51.3,9.0,23.0,1217.645,-1.659,7.291,6.644,1.0-2.0
-30.10166667,29.76361111,2.9,9824.085,8695.505,7739.975,13431.459,0.155,0.68,0.232,1.386,50.6,10.0,23.0,1205.82,0.04,13.006,7.857,2.0-3.0
-31.43555556,29.05166667,1.7,9834.64,8828.402,7846.914,13460.416,0.155,0.663,0.232,1.377,23.4,7.0,20.0,997.408,-3.043,10.221,6.881,1.0-2.0
-31.07916667,29.22611111,1.8,9214.234,8526.693,7546.047,13852.548,0.201,0.942,0.301,1.51,56.3,12.0,24.0,802.31,-1.72,13.72,5.885,1.0-2.0
-31.16027778,29.11722222,2.8,9615.787,8610.091,7548.112,13652.653,0.172,0.701,0.258,1.426,52.6,11.0,23.0,1074.834,-0.202,13.559,6.537,2.0-3.0
-31.42638889,29.13361111,2.7,10705.163,9410.547,8070.671,15093.297,0.169,0.586,0.253,1.413,24.7,8.0,21.0,853.396,-1.998,35.719,5.917,2.0-3.0
-31.81166667,29.02611111,3.2,9715.665,8865.27,7846.686,14430.594,0.194,0.861,0.291,1.492,36.5,9.0,21.0,638.211,-1.675,10.417,6.024,3.0-4.0
-31.32583333,29.39,4.2,9406.504,8535.113,7598.282,13542.072,0.178,0.804,0.267,1.451,29.9,8.0,21.0,843.828,0.886,7.131,6.607,> 4.0
-30.84138889,29.26166667,2.3,9598.218,8745.185,7517.694,13813.42,0.179,0.721,0.268,1.444,52.4,10.0,23.0,1261.989,3.08,3.921,7.141,2.0-3.0
-31.40444444,29.18055556,1.7,10370.564,9183.707,7939.598,15019.894,0.182,0.666,0.273,1.458,28.5,10.0,22.0,722.052,-1.047,10.491,5.984,1.0-2.0
-24.09944444,31.81916667,2.0,10055.75,8776.195,8117.267,11953.879,0.085,0.435,0.128,1.192,5.4,10.0,27.0,234.068,-2.989,1.563,0.593,1.0-2.0
-31.22833333,28.63777778,1.2,10949.376,9573.665,8503.466,13505.243,0.105,0.432,0.158,1.248,71.8,11.0,24.0,910.191,-0.197,4.604,4.597,1.0-2.0
-27.07472222,30.09805556,3.0,9758.473,8753.652,7707.869,14342.354,0.188,0.808,0.282,1.504,46.6,12.0,25.0,1683.906,2.899,3.474,8.492,2.0-3.0
-30.70305556,28.26916667,2.1,9747.29,8573.105,7628.308,14412.641,0.194,0.899,0.291,1.513,67.7,10.0,25.0,1946.043,0.722,13.105,8.085,2.0-3.0
-26.27305556,29.24333333,5.6,9295.405,8371.923,7707.899,11414.773,0.094,0.47,0.141,1.226,52.7,12.0,26.0,1536.259,-1.06,0.174,9.076,> 4.0
-32.92777778,27.51666667,1.4,10501.581,9235.46,8153.464,13571.239,0.127,0.506,0.191,1.296,110.5,16.0,26.0,336.617,1.954,6.862,6.259,1.0-2.0
-30.59444444,28.31472222,1.0,10822.487,9490.929,8329.05,14540.571,0.146,0.565,0.219,1.355,99.7,16.0,29.0,1570.944,2.531,38.44,7.446,0.5-1.0
-24.92944444,31.69333333,3.0,9620.169,8605.797,7951.358,13023.619,0.149,0.809,0.223,1.375,4.0,8.0,26.0,272.722,2.153,0.862,5.464,2.0-3.0
-32.93055556,27.66194444,1.5,9463.909,8688.537,7759.459,13363.488,0.17,0.825,0.255,1.423,113.4,16.0,26.0,312.656,1.116,7.15,5.574,1.0-2.0
-32.02416667,28.71361111,1.7,9878.343,8951.711,8016.963,14033.007,0.173,0.817,0.259,1.445,8.6,9.0,23.0,540.333,2.576,7.477,5.355,1.0-2.0
-24.89583333,31.73166667,2.4,10099.526,8915.59,8109.545,13803.336,0.154,0.746,0.231,1.392,4.7,8.0,26.0,271.469,1.784,3.595,6.319,2.0-3.0
-26.02611111,30.52527778,2.5,10363.544,9126.532,8043.937,14261.828,0.157,0.641,0.235,1.39,48.3,12.0,25.0,1434.858,-2.165,13.875,5.945,2.0-3.0
-31.05944444,28.81027778,0.9,10234.958,9156.436,7996.918,14167.814,0.161,0.673,0.242,1.407,74.4,11.0,24.0,1114.175,-1.203,1.006,6.555,0.5-1.0
-26.99111111,30.35166667,5.1,9533.405,8589.679,7637.221,13347.652,0.164,0.725,0.245,1.407,56.1,14.0,26.0,1465.121,-0.474,4.122,6.888,> 4.0
-33.34027778,27.11361111,1.3,10030.691,8951.655,7930.551,13370.448,0.143,0.601,0.214,1.334,50.8,15.0,25.0,240.687,1.343,7.089,5.435,1.0-2.0
-24.77305556,31.60583333,0.8,9748.363,8673.321,7975.474,13136.465,0.146,0.763,0.219,1.373,16.6,12.0,27.0,376.353,1.125,3.584,6.67,0.5-1.0
-26.94611111,29.28805556,2.0,10179.743,9140.502,8146.703,13899.781,0.153,0.686,0.23,1.381,53.9,13.0,27.0,1547.297,0.321,3.313,9.097,1.0-2.0
-32.17027778,28.70277778,1.6,8602.437,8124.482,7374.572,13040.527,0.194,1.117,0.291,1.532,10.9,10.0,23.0,399.956,2.191,32.034,6.295,1.0-2.0
-30.25556,28.54972,6.0,9516.656,8801.379,7714.118,13813.535,0.182,0.859,0.273,1.462,98.5,16.0,29.0,1425.256,-2.72,1.17,6.403,> 4.0
-25.97527778,30.60888889,1.1,9864.486,8820.109,7903.236,12959.592,0.134,0.609,0.201,1.319,19.7,7.0,24.0,1052.55,3.068,7.398,6.244,1.0-2.0
-31.19611111,28.60777778,1.3,10122.19,8884.949,7873.109,14201.651,0.167,0.699,0.251,1.433,73.3,11.0,23.0,966.33,-2.326,9.585,8.704,1.0-2.0
-24.78805556,31.40472222,1.3,9802.126,8696.773,7966.809,13173.016,0.145,0.724,0.217,1.366,156.0,19.0,31.0,387.525,-2.171,3.225,8.443,1.0-2.0
-24.82027778,31.40916667,0.7,10637.907,9289.008,8337.535,13920.712,0.133,0.596,0.2,1.326,16.0,12.0,27.0,399.574,-2.135,0.659,6.251,0.5-1.0
-32.39944444,28.1875,1.1,10004.648,8885.741,7872.069,14111.432,0.168,0.705,0.252,1.429,81.7,12.0,23.0,610.31,2.638,7.445,5.582,1.0-2.0
-26.55055556,29.45277778,1.8,10001.841,8931.426,7984.655,13295.16,0.14,0.631,0.21,1.344,51.7,12.0,26.0,1619.308,-0.839,4.712,-0.296,1.0-2.0
-25.23166667,30.08611111,3.8,9840.212,8692.093,7758.652,13819.752,0.169,0.778,0.253,1.439,9.2,3.0,17.0,1822.254,-0.735,4.005,7.352,3.0-4.0
-26.58638889,29.44055556,1.9,10030.737,8801.998,7862.611,13217.511,0.136,0.574,0.204,1.331,51.6,12.0,26.0,1616.068,2.433,3.402,8.708,1.0-2.0
-27.1875,29.49444444,3.6,9908.413,8913.288,7898.905,13548.344,0.153,0.687,0.23,1.384,50.0,13.0,26.0,1657.695,-1.703,7.713,5.46,3.0-4.0
-31.16527778,28.59388889,2.0,10689.385,9356.78,8319.726,13516.701,0.118,0.496,0.177,1.286,73.9,11.0,24.0,1375.636,-0.098,20.356,4.477,1.0-2.0
-30.33972222,28.255,5.8,9905.455,8760.054,7753.164,14836.275,0.192,0.788,0.287,1.512,102.7,10.0,23.0,2498.478,-2.293,54.81,6.053,> 4.0
-30.68694444,28.67138889,3.0,9268.739,8472.242,7522.661,14152.629,0.207,0.965,0.31,1.546,121.9,14.0,26.0,1927.274,-2.428,13.098,8.09,2.0-3.0
